node_id,x,y,z,sigma_xx,sigma_yy,sigma_zz,tau_xy,tau_yz,tau_zx
185,0.9500000000000001,0.07,0.01,21567384.76168338,21259980.354148157,49695641.77511396,-33681.058433240556,-11205752.434871588,-660389.2656679164
186,0.9,0.06,0.0,14568654.22851768,13811721.301683893,32209633.23995288,-50964.1877033479,-3180377.2140142387,-196245.25182152665
187,0.9,0.06,0.01,-25838490.477525666,-26413108.141733784,-61678522.13094571,-24408.863841704882,19467546.02661918,-3084362.8426656877
188,0.8500000000000001,0.05,0.0,6843788.564750626,5717807.179792591,13223628.374913365,-65322.07979961815,-1958549.295658468,621871.9283676803
189,1.0,0.07,0.03,65537879.65711707,65264516.23196931,153054729.54001412,-26537.795791795223,41273186.52218351,9291013.445149668
190,0.8500000000000001,0.05,0.01,1599814.0476395602,571138.2015452292,1156427.2572238697,-200333.4695388825,-1805008.5736185964,2482538.167524136
191,0.8,0.04,0.0,-620970.6050637392,-1607721.8604257302,-2624572.285899843,-635447.8864939917,128016.32809363927,1106064.0947839338
192,0.8,0.04,0.01,269938.05499300006,-1827073.033466165,-3801108.0282485634,2602678.2754210006,103487.05280082737,-1941755.9367988212
193,0.75,0.03,0.0,6753699.405663948,2620639.3384489166,4189124.524239604,9372011.12696264,-534068.4802134659,-23514223.181296542
194,0.9500000000000001,0.06,0.04,-2855135.7238863884,-2800997.0664466554,-6942141.041227256,-19239.377309710788,1230558.8422950653,35624.76289082968
195,0.75,0.03,0.01,1611912.9164328037,285453.8361765226,128030.27727773796,710186.4687480823,-820738.0342638347,1567822.2797760365
196,0.7000000000000001,0.02,0.0,-4073599.2123984736,-3243855.0218991856,-5370144.63988967,-6728172.6113133645,182390.44812790633,-7939508.14518514
197,0.9,0.05,0.04,-18770302.025565676,-18961681.966514718,-44201438.37358202,-5820.951840637457,-13490323.075291893,7979520.206789525
198,0.8,0.03,0.03,-6799971.824160419,-7364458.905032576,-17187858.304887954,-657096.0352413204,2118952.0268175164,3513651.287570856
199,0.7000000000000001,0.02,0.01,4787233.890182961,3767887.640759315,9724891.659919651,-3025633.963745953,-13892.291819321268,3279298.1380812023
200,0.65,0.01,0.0,1874892.2419658517,-859089.5289274708,-2419645.9909074283,565816.9624757918,-173810.06712317592,-299732.00109710265
201,0.9500000000000001,0.0,0.07,-846472.0923830073,-711095.25591549,-1647489.1291686692,394005.22798412474,883275.2028549876,-279457.70416001376
202,0.9500000000000001,0.01,0.07,1464185.1119634302,1728791.9528233248,4184683.0755472244,-299641.2696470512,-1683863.9875716483,1343829.065170718
203,0.9,0.0,0.06,4137088.7524528173,4434799.328641836,10466658.74733103,-604632.9601116697,-6669760.782948308,1282249.3859376947
